zone_id,centroid_lon,centroid_lat,production_person_midday,attraction_person_midday,selected_origin,selected_destination
h3r9:892a3066037ffff,-71.05786186089433,42.36100668312482,166.91621541414236,184.69608124780456,1,1
h3r9:892a306603bffff,-71.06442265613505,42.36369150357572,314.94966401201845,313.9117309934643,1,1
h3r9:892a3066047ffff,-71.0731299863522,42.36906351808235,55.33094800691699,48.18985890851371,1,1
h3r9:892a306604fffff,-71.07754672108615,42.36906034623293,133.935037251671,150.0334330451944,1,1
h3r9:892a3066063ffff,-71.07325501615406,42.36368562513653,5.458613555009154,4.658042553041638,1,1
h3r9:892a3066067ffff,-71.07110954824867,42.36099834136443,199.23267321397242,191.17905639864333,1,1
h3r9:892a306606bffff,-71.07767123723558,42.36368243167716,60.873458520482075,61.94658311931444,1,1
h3r9:892a306606fffff,-71.07552549887532,42.36099522183873,7.435402684305337,6.159176850432035,1,1
h3r9:892a3066073ffff,-71.07098427620448,42.366376057997115,28.44192287184448,24.144867383398196,1,1
h3r9:892a3066077ffff,-71.06883882243646,42.363688649101675,325.25765058457523,363.67791357984805,1,1
h3r9:892a306607bffff,-71.0754007404199,42.36637296010021,95.99437191194232,106.03916907002673,1,1
h3r9:892a30660a3ffff,-71.05331869380487,42.36638675447857,268.45422666138137,237.4465153099481,1,1
h3r9:892a30660a7ffff,-71.05117432224975,42.36369905008298,173.41107403323332,157.43311182683212,1,1
h3r9:892a30660abffff,-71.05773504813102,42.36638433461781,273.511406680129,253.36074228536648,1,1
h3r9:892a30660afffff,-71.05559040598948,42.36369670406321,303.3704187826348,272.3331139736729,1,1
h3r9:892a30660b3ffff,-71.05104672430397,42.369076834345705,41.917598808241635,46.253063277935645,1,1
h3r9:892a30660b7ffff,-71.04890236708157,42.366389004838226,13.88788997804377,11.50604439659575,1,1
h3r9:892a30660bbffff,-71.05546332165665,42.36907451014701,40.67980028418974,34.38920314791609,1,1
h3r9:892a3066103ffff,-71.04928579744815,42.350257174366206,247.12306030630006,271.0107716175688,1,1
h3r9:892a3066107ffff,-71.04714242193315,42.34756992553658,80.6959779841588,88.62104719145142,1,1
h3r9:892a306610bffff,-71.05370058388168,42.35025485850065,47.72824387728703,49.21469293893986,1,1
h3r9:892a306610fffff,-71.05155693794896,42.34756768343292,49.379064843575456,51.37405163868092,1,1
h3r9:892a3066113ffff,-71.0470143997991,42.35294669481648,212.9354412640574,239.6954411108968,1,1
h3r9:892a306611bffff,-71.0514294290619,42.35294447456235,101.47372004090215,105.23300775067068,1,1
h3r9:892a3066123ffff,-71.0472704142824,42.342193487424964,17.272356272139497,16.432522443492598,1,1
h3r9:892a3066127ffff,-71.04512753646871,42.339506466529755,26.65185385894854,23.06006266927341,1,1
