link_id,flow_pce_per_period,cost_min
11555,0.0,0.1215879999999999
11556,0.0,0.17382
11563,0.0,0.367056
11564,0.0,0.614846
11565,0.0,0.199026
11566,0.0,0.199026
11567,0.0,0.576874
11600,0.0,0.085508
11601,0.0,0.087493
11602,0.0,0.14794
11603,0.0,0.09973
11604,0.0,0.089254
11605,0.0,0.047664
11606,0.0,0.041215
11607,0.0,0.131306
11610,0.0,0.059787
11611,0.0,0.0563
11612,0.0,0.05033
11613,0.0,0.011456
11614,0.0,0.056689
11615,0.0,0.102288
11616,0.0,0.095532
11617,0.0,0.049374
11618,0.0,0.041388
11619,0.0,0.04364
11620,0.0,0.007736
11621,0.0,0.042826
11622,0.0,0.031094
11627,0.0,0.116924
11628,0.0,0.116924
11629,0.0,0.2959119999999999
11630,0.0,1.53236
11631,0.0,1.53236
11632,0.0,0.1241479999999999
11633,2.7897980104696383,0.12545803611080691
11634,0.0,0.490282
11635,0.0,0.490282
11636,0.0,0.121968
11637,0.0,0.121968
11638,0.0,0.1715813333333333
11713,0.09731355789423173,0.2572450000034953
11714,0.09731355789423173,0.3427950000046578
11715,0.0,0.126836
11716,0.0,0.1028373333333333
11717,0.0,0.665122
11718,0.0,0.0609719999999999
