link_id,from_node_id,to_node_id,source_link_id,geometry,is_physical,is_centroid_connector,fw_volume,full_path_volume,rank26_v_from_paths,rank52_v_from_paths,rank26_minus_fw,rank52_minus_fw,full_path_minus_fw
15034,4140,4093,15034,"LINESTRING (-71.0881317 42.3480939, -71.088524 42.3489067)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15035,3864,4140,15035,"LINESTRING (-71.0856545 42.3487503, -71.0881317 42.3480939)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15036,4455,4456,15036,"LINESTRING (-71.0867389 42.3475266, -71.0855621 42.3478846)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15037,4456,4457,15037,"LINESTRING (-71.0855621 42.3478846, -71.0867782 42.347599)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15038,5446,3864,15038,"LINESTRING (-71.0852582 42.3479681, -71.0856545 42.3487503)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15039,340,1088,15039,"LINESTRING (-71.0854923 42.3519191, -71.0869952 42.3515134)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15040,4146,4110,15040,"LINESTRING (-71.086815 42.349368, -71.0860519 42.3495769)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15075,3528,3542,15075,"LINESTRING (-71.0892665 42.3463131, -71.089227 42.3469063)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15076,3542,3940,15076,"LINESTRING (-71.089227 42.3469063, -71.0877461 42.347299)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15077,3940,3542,15077,"LINESTRING (-71.0877461 42.347299, -71.089227 42.3469063)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15078,3940,4140,15078,"LINESTRING (-71.0877461 42.347299, -71.0881317 42.3480939)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15079,4140,3940,15079,"LINESTRING (-71.0881317 42.3480939, -71.0877461 42.347299)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15080,4856,4863,15080,"LINESTRING (-71.087062 42.3459422, -71.0873357 42.346496)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15081,4863,4856,15081,"LINESTRING (-71.0873357 42.346496, -71.087062 42.3459422)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15106,3527,3528,15106,"LINESTRING (-71.0895063 42.3454278, -71.0892665 42.3463131)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15107,2895,3527,15107,"LINESTRING (-71.089725 42.344641, -71.0895063 42.3454278)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15108,4855,4856,15108,"LINESTRING (-71.0868444 42.345461, -71.087062 42.3459422)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15109,4856,4855,15109,"LINESTRING (-71.087062 42.3459422, -71.0868444 42.345461)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15114,4457,3940,15114,"LINESTRING (-71.0867782 42.347599, -71.0877461 42.347299)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15115,4316,4455,15115,"LINESTRING (-71.0873406 42.3473671, -71.0867389 42.3475266)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15116,3940,4316,15116,"LINESTRING (-71.0877461 42.347299, -71.0873406 42.3473671)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15117,3940,4317,15117,"LINESTRING (-71.0877461 42.347299, -71.0874081 42.3466254)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15118,4317,3940,15118,"LINESTRING (-71.0874081 42.3466254, -71.0877461 42.347299)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15119,4863,4317,15119,"LINESTRING (-71.0873357 42.346496, -71.0874081 42.3466254)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15120,4317,4863,15120,"LINESTRING (-71.0874081 42.3466254, -71.0873357 42.346496)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15121,533,534,15121,"LINESTRING (-71.086934 42.3497273, -71.0887028 42.3492706)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15122,4093,4146,15122,"LINESTRING (-71.088524 42.3489067, -71.086815 42.349368)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15123,3482,1087,15123,"LINESTRING (-71.0862186 42.3499194, -71.0866185 42.350728)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15124,1088,4463,15124,"LINESTRING (-71.0869952 42.3515134, -71.0894765 42.3508438)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15125,4094,4463,15125,"LINESTRING (-71.0890854 42.3500678, -71.0894765 42.3508438)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15126,4463,4094,15126,"LINESTRING (-71.0894765 42.3508438, -71.0890854 42.3500678)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15127,534,4094,15127,"LINESTRING (-71.0887028 42.3492706, -71.0890854 42.3500678)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
