path_id,path_index,link_order,link_id,link_index
OD004_P00,20,11,18156,1982
OD004_P00,20,12,18167,1978
OD004_P00,20,13,18090,1981
OD004_P00,20,14,18228,2185
OD004_P00,20,15,18227,124
OD004_P00,20,16,18230,120
OD004_P00,20,17,18212,123
OD004_P00,20,18,18232,127
OD004_P01,21,0,17959,1273
OD004_P01,21,1,18013,1267
OD004_P01,21,2,18021,1270
OD004_P01,21,3,18018,3706
OD004_P01,21,4,15640,4411
OD004_P01,21,5,15585,371
OD004_P01,21,6,18137,370
OD004_P01,21,7,18142,374
OD004_P01,21,8,18139,1976
OD004_P01,21,9,18116,2317
OD004_P01,21,10,18163,2326
OD004_P01,21,11,18166,3251
OD004_P01,21,12,18156,1982
OD004_P01,21,13,18167,1978
OD004_P01,21,14,18090,1981
OD004_P01,21,15,18228,2185
OD004_P01,21,16,18227,124
OD004_P01,21,17,18230,120
OD004_P01,21,18,18212,123
OD004_P01,21,19,18232,127
OD004_P02,22,0,17959,1273
OD004_P02,22,1,18013,1267
OD004_P02,22,2,18020,1271
OD004_P02,22,3,15640,4411
OD004_P02,22,4,17180,372
OD004_P02,22,5,17181,3611
OD004_P02,22,6,15604,1972
OD004_P02,22,7,18139,1976
OD004_P02,22,8,18116,2317
OD004_P02,22,9,18163,2326
OD004_P02,22,10,18166,3251
OD004_P02,22,11,18156,1982
OD004_P02,22,12,18167,1978
OD004_P02,22,13,18090,1981
OD004_P02,22,14,18228,2185
OD004_P02,22,15,18227,124
OD004_P02,22,16,18230,120
OD004_P02,22,17,18212,123
OD004_P02,22,18,18232,127
OD004_P03,23,0,17959,1273
OD004_P03,23,1,18013,1267
OD004_P03,23,2,18021,1270
OD004_P03,23,3,18018,3706
OD004_P03,23,4,15640,4411
OD004_P03,23,5,17180,372
OD004_P03,23,6,17181,3611
OD004_P03,23,7,15604,1972
OD004_P03,23,8,18139,1976
OD004_P03,23,9,18116,2317
OD004_P03,23,10,18163,2326
OD004_P03,23,11,18166,3251
OD004_P03,23,12,18156,1982
OD004_P03,23,13,18167,1978
OD004_P03,23,14,18090,1981
OD004_P03,23,15,18228,2185
OD004_P03,23,16,18227,124
OD004_P03,23,17,18230,120
OD004_P03,23,18,18212,123
OD004_P03,23,19,18232,127
OD004_P04,24,0,17959,1273
OD004_P04,24,1,18013,1267
OD004_P04,24,2,18021,1270
OD004_P04,24,3,18016,3705
OD004_P04,24,4,17771,1196
