path_index,path_id,od_index,od_id,o_node_id,d_node_id,rank_in_od,link_id_sequence,free_flow_cost_min,generation_method,source_identity
68,OD013_P03,13,4285->4914,4285,4914,3,16918;16924;16621;17113;17117;17116;17112;17123;17120;17125;17068;17170;17162;17176;17164;17187;15631;17769;17820;18061;17808;17904;17825,3.2292386666666664,yen_loopless_exact_link_ids_vdf_fftt,78d4e264c7d98d4d
69,OD013_P04,13,4285->4914,4285,4914,4,16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17960;18009;18005;17811;17902;17903;17825,3.380770666666666,yen_loopless_exact_link_ids_vdf_fftt,323277b20684180a
70,OD014_P00,14,4575->2032,4575,2032,0,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16316;16325;15865;16510;16554;16551;16382;16586;15602;17020;17016;17014;17036;16953;15619;18011;18008;18012;18004;18006,5.50118,yen_loopless_exact_link_ids_vdf_fftt,640d1a24fc2a399e
71,OD014_P01,14,4575->2032,4575,2032,1,15990;16154;16155;16156;16145;15892;16246;16241;16248;16233;16250;16249;16175;16257;16275;16170;16310;16308;16321;16320;16316;16325;15865;16510;16554;16551;16382;16586;15602;17020;17016;17014;17036;16953;15619;18011;18008;18012;18004;18006,5.558269999999999,yen_loopless_exact_link_ids_vdf_fftt,3d2bde2fc30711f9
72,OD014_P02,14,4575->2032,4575,2032,2,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16322;16317;16323;15868;16507;16382;16586;15602;17020;17016;17014;17036;16953;15619;18011;18008;18012;18004;18006,5.597696666666667,yen_loopless_exact_link_ids_vdf_fftt,09b14d7afe7a774b
73,OD014_P03,14,4575->2032,4575,2032,3,15990;16154;16155;16156;16145;15892;16246;16241;16248;16233;16250;16249;16175;16257;16275;16170;16310;16308;16321;16319;16317;16323;15868;16507;16382;16586;15602;17020;17016;17014;17036;16953;15619;18011;18008;18012;18004;18006,5.602841333333333,yen_loopless_exact_link_ids_vdf_fftt,f89a97abe800c19e
74,OD014_P04,14,4575->2032,4575,2032,4,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16316;16325;15865;16510;16554;16551;16382;16586;15602;17020;17016;17014;17036;16953;17050;17047;17048;17052;15650;18009;18006,5.603212,yen_loopless_exact_link_ids_vdf_fftt,bbce1ba6bba48fc2
75,OD015_P00,15,4575->4914,4575,4914,0,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16316;16325;15865;16510;16554;16551;16382;16586;16585;16583;16573;16600;16599;15645;17031;15586;17931;17906;17903;17825,5.551374000000002,yen_loopless_exact_link_ids_vdf_fftt,ab0234c61feb8a0f
76,OD015_P01,15,4575->4914,4575,4914,1,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16316;16325;15865;16510;16554;16551;16382;16586;16585;16583;16573;16600;16599;15645;17032;17029;17028;15586;17931;17906;17903;17825,5.600798,yen_loopless_exact_link_ids_vdf_fftt,380830a3802e3212
77,OD015_P02,15,4575->4914,4575,4914,2,15990;16154;16155;16156;16145;15892;16246;16241;16248;16233;16250;16249;16175;16257;16275;16170;16310;16308;16321;16320;16316;16325;15865;16510;16554;16551;16382;16586;16585;16583;16573;16600;16599;15645;17031;15586;17931;17906;17903;17825,5.608464,yen_loopless_exact_link_ids_vdf_fftt,1dfaf0d49bbeb55b
78,OD015_P03,15,4575->4914,4575,4914,3,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16316;16325;15865;16510;16553;16556;16373;16575;16581;16567;16589;16594;15641;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825,5.629391333333333,yen_loopless_exact_link_ids_vdf_fftt,6d26b1d204b8aa73
79,OD015_P04,15,4575->4914,4575,4914,4,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16322;16317;16323;15868;16507;16382;16586;16585;16583;16573;16600;16599;15645;17031;15586;17931;17906;17903;17825,5.647890666666666,yen_loopless_exact_link_ids_vdf_fftt,99f0d583b43f769c
80,OD016_P00,16,4694->2032,4694,2032,0,16826;16940;16936;16610;17063;15611;17770;17956;18015;18018;18019;18014;17958,2.8199879999999995,yen_loopless_exact_link_ids_vdf_fftt,63412de7a5a445ac
81,OD016_P01,16,4694->2032,4694,2032,1,16826;16940;16936;16610;17063;15611;17770;17812;18086;17819;18051;18049;18050;18033;17957;18023;18017;17958,2.8668546666666663,yen_loopless_exact_link_ids_vdf_fftt,669b6b7ae84f1d3a
82,OD016_P02,16,4694->2032,4694,2032,2,16826;16940;16936;16610;17063;15611;17770;17956;18015;18018;18019;18014;17960;18009;18006,3.220807333333333,yen_loopless_exact_link_ids_vdf_fftt,a1bd27e39c11ef6b
83,OD016_P03,16,4694->2032,4694,2032,3,16826;16940;16936;16610;17063;15611;17770;17812;18086;17819;18051;18049;18050;18033;17957;18023;18017;17960;18009;18006,3.2676739999999995,yen_loopless_exact_link_ids_vdf_fftt,7f917608d5582f64
84,OD016_P04,16,4694->2032,4694,2032,4,16826;16940;16936;16610;17063;15611;17770;17812;18086;18085;18063;18081;18084;18067;18077;17817;17961;18048;18050;18033;17957;18023;18017;17958,3.3215839999999996,yen_loopless_exact_link_ids_vdf_fftt,3fdeb44d7b1d54d4
85,OD017_P00,17,5012->1492,5012,1492,0,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15592,6.600347333333331,yen_loopless_exact_link_ids_vdf_fftt,97dbf64e517499dc
86,OD017_P01,17,5012->1492,5012,1492,1,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15592,6.60148,yen_loopless_exact_link_ids_vdf_fftt,d093b89cd826e896
87,OD017_P02,17,5012->1492,5012,1492,2,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15592,6.617565333333332,yen_loopless_exact_link_ids_vdf_fftt,6b7c0a9a9fb59c07
88,OD017_P03,17,5012->1492,5012,1492,3,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15592,6.618697999999999,yen_loopless_exact_link_ids_vdf_fftt,96edb9ad20b82e0f
89,OD017_P04,17,5012->1492,5012,1492,4,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15593;17036,6.642297333333333,yen_loopless_exact_link_ids_vdf_fftt,ce2252eecdc585f6
90,OD018_P00,18,5012->2032,5012,2032,0,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958,5.844016666666665,yen_loopless_exact_link_ids_vdf_fftt,9fc648b4abb3cfcc
91,OD018_P01,18,5012->2032,5012,2032,1,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958,5.861234666666666,yen_loopless_exact_link_ids_vdf_fftt,447e1b18a0faf8be
